Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Housing Units with 0 Vehicles Available,Data Time Period,Geographic Vintage,Data Source
Zip Code Tabulation Area,79915,TX,79915,79915,10.67,2018-2022,2020,Census
Zip Code Tabulation Area,78212,TX,78212,78212,10.66,2018-2022,2020,Census
Zip Code Tabulation Area,75460,TX,75460,75460,10.63,2018-2022,2020,Census
Zip Code Tabulation Area,77099,TX,77099,77099,10.62,2018-2022,2020,Census
Zip Code Tabulation Area,78222,TX,78222,78222,10.6,2018-2022,2020,Census
Zip Code Tabulation Area,75835,TX,75835,75835,10.56,2018-2022,2020,Census
Zip Code Tabulation Area,78107,TX,78107,78107,10.56,2018-2022,2020,Census
Zip Code Tabulation Area,78229,TX,78229,78229,10.52,2018-2022,2020,Census
Zip Code Tabulation Area,79415,TX,79415,79415,10.48,2018-2022,2020,Census
Zip Code Tabulation Area,79079,TX,79079,79079,10.47,2018-2022,2020,Census
Zip Code Tabulation Area,78026,TX,78026,78026,10.45,2018-2022,2020,Census
Zip Code Tabulation Area,78833,TX,78833,78833,10.39,2018-2022,2020,Census
Zip Code Tabulation Area,78596,TX,78596,78596,10.38,2018-2022,2020,Census
Zip Code Tabulation Area,77705,TX,77705,77705,10.35,2018-2022,2020,Census
Zip Code Tabulation Area,78228,TX,78228,78228,10.29,2018-2022,2020,Census
Zip Code Tabulation Area,77864,TX,77864,77864,10.24,2018-2022,2020,Census
Zip Code Tabulation Area,78340,TX,78340,78340,10.19,2018-2022,2020,Census
Zip Code Tabulation Area,77030,TX,77030,77030,10.17,2018-2022,2020,Census
Zip Code Tabulation Area,76066,TX,76066,76066,10.16,2018-2022,2020,Census
Zip Code Tabulation Area,78217,TX,78217,78217,10.08,2018-2022,2020,Census
Zip Code Tabulation Area,79106,TX,79106,79106,10.08,2018-2022,2020,Census
Zip Code Tabulation Area,76701,TX,76701,76701,10.05,2018-2022,2020,Census
Zip Code Tabulation Area,78648,TX,78648,78648,10.02,2018-2022,2020,Census
Zip Code Tabulation Area,79378,TX,79378,79378,10,2018-2022,2020,Census
Zip Code Tabulation Area,77551,TX,77551,77551,9.98,2018-2022,2020,Census
Zip Code Tabulation Area,77088,TX,77088,77088,9.97,2018-2022,2020,Census
Zip Code Tabulation Area,76424,TX,76424,76424,9.95,2018-2022,2020,Census
Zip Code Tabulation Area,77090,TX,77090,77090,9.95,2018-2022,2020,Census
Zip Code Tabulation Area,75862,TX,75862,75862,9.92,2018-2022,2020,Census
Zip Code Tabulation Area,75413,TX,75413,75413,9.86,2018-2022,2020,Census
Zip Code Tabulation Area,75974,TX,75974,75974,9.8,2018-2022,2020,Census
Zip Code Tabulation Area,79731,TX,79731,79731,9.79,2018-2022,2020,Census
Zip Code Tabulation Area,76201,TX,76201,76201,9.75,2018-2022,2020,Census
Zip Code Tabulation Area,79778,TX,79778,79778,9.75,2018-2022,2020,Census
Zip Code Tabulation Area,78019,TX,78019,78019,9.73,2018-2022,2020,Census
Zip Code Tabulation Area,75202,TX,75202,75202,9.7,2018-2022,2020,Census
